日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2024-03-09,桐生,4,一般,2,4637,中田友也,33,埼玉,56,B1,5.09,27.78,4.88,23.66,32,32.5,55,30.51,晴,西,8,8,6.92,1,差し,2,0.15,1.14.2,0.1714634146341463,0.1620171673819742,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
2024-03-09,桐生,4,一般,3,3790,佐口達也,51,群馬,54,B1,5.04,29.27,4.96,27.74,28,31.25,68,32.76,晴,西,8,8,7.09,4,差し,3,0.14,1.16.8,0.1494871794871795,0.1639320388349514,0.0,0.03571428571428571,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,4,一般,4,5087,佐藤　航,24,埼玉,54,A2,5.53,41.67,5.26,33.33,55,34.21,33,39.66,晴,西,8,8,6.94,5,差し,4,0.24,1.17.3,0.1916,0.1943352601156069,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,4,一般,5,3918,深井利寿,49,滋賀,51,A2,6.14,41.9,5.56,22.22,56,24.32,72,40.3,晴,西,8,8,6.98,3,差し,5,0.19,1.15.9,0.1939024390243902,0.18125,0.4594594594594595,0.08108108108108109,0.13513513513513514,0.43243243243243246,0.0,0.0,0.0,0.0,0.10810810810810811,0.16216216216216217,0.24324324324324326
2024-03-09,桐生,4,一般,6,4382,高山智至,39,滋賀,55,B1,4.69,15.66,5.5,38.46,25,28.13,52,32.76,晴,西,8,8,7.03,6,差し,6,0.19,1.20.5,0.1844827586206896,0.1619718309859155,0.05128205128205128,0.3333333333333333,0.28205128205128205,0.0,0.5897435897435898,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0
2024-03-09,桐生,5,一般,2,3800,牧　宏次,50,東京,53,B1,4.7,25.68,6.29,46.94,57,34.29,65,31.75,晴,西,7,7,7.1,4,逃げ,3,0.16,1.24.4,0.1804347826086956,0.1751351351351351,0.07692307692307693,0.05128205128205128,0.3333333333333333,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0
2024-03-09,桐生,5,一般,4,4238,毒島　誠,40,群馬,53,A1,7.26,43.02,8.74,81.25,72,28.57,44,35.0,晴,西,7,7,6.94,1,逃げ,1,0.14,1.18.0,0.1234285714285714,0.1269777777777777,0.17142857142857143,0.17142857142857143,0.34285714285714286,0.0,0.0,0.02857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0
2024-03-09,桐生,5,一般,5,4452,松尾　祭,36,香川,53,A1,6.66,46.6,5.55,36.36,34,33.33,28,28.57,晴,西,7,7,7.1,3,逃げ,5,0.15,1.21.2,0.1831578947368421,0.1655172413793103,0.08333333333333333,0.08333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
2024-03-09,桐生,5,一般,6,3885,久田　武,50,愛知,53,A2,5.43,32.5,4.43,23.53,66,28.13,67,26.92,晴,西,7,7,7.09,2,逃げ,6,0.22,1.20.0,0.196,0.160468085106383,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,6,ドラドキ目玉,1,5141,大澤風葵,23,群馬,53,A1,5.83,42.11,6.27,50.0,68,41.86,26,43.14,晴,西,6,4,6.82,1,逃げ,1,0.22,1.13.6,0.1174509803921568,0.1230039525691699,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
2024-03-09,桐生,6,ドラドキ目玉,2,3869,井芹大志,48,福岡,55,B1,4.06,14.81,3.15,15.38,27,34.15,57,38.3,晴,西,6,4,6.9,3,逃げ,2,0.3,1.16.1,0.202258064516129,0.1945251396648044,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,6,ドラドキ目玉,3,3652,森下　勇,50,群馬,57,B1,3.61,16.22,4.0,20.43,52,39.02,35,22.41,晴,西,6,4,7.0,2,逃げ,3,0.24,1.15.7,0.1611904761904762,0.1781990521327014,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,6,ドラドキ目玉,4,4046,谷村啓司,44,福岡,54,B1,4.35,20.45,0.0,0.0,58,51.28,71,37.74,晴,西,6,4,6.77,4,逃げ,4,0.22,1.17.1,0.2216666666666666,0.1901744186046511,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,6,ドラドキ目玉,5,3967,鈴木茂高,44,愛知,58,B1,4.24,20.51,3.76,10.34,73,25.0,42,39.34,晴,西,6,4,6.89,5,逃げ,5,0.31,1.17.2,0.2097058823529412,0.1976036866359447,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,6,ドラドキ目玉,6,3567,吉岡　誠,53,山口,56,B1,4.13,22.58,0.0,0.0,47,43.24,56,31.03,晴,西,6,4,6.88,6,逃げ,6,0.37,1.19.1,0.1885,0.1592086330935251,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,7,ドラドキ３,1,3905,天野友和,46,愛知,54,A2,5.8,38.68,5.48,38.46,46,45.0,36,30.51,晴,西,5,5,6.81,1,逃げ,1,0.19,1.51.2,0.1580357142857142,0.1562921348314606,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3,0.0,0.0,0.0,0.0,0.2,0.23333333333333334,0.16666666666666666
2024-03-09,桐生,7,ドラドキ３,2,4740,齋藤達希,32,静岡,52,B1,4.71,29.21,3.28,12.0,43,26.83,46,42.86,晴,西,5,5,6.92,6,逃げ,2,0.25,1.57.6,0.1763636363636363,0.1805999999999999,0.06451612903225806,0.25806451612903225,0.06451612903225806,0.0,0.5806451612903226,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,7,ドラドキ３,3,4012,中村有裕,44,滋賀,55,A2,6.09,41.0,0.0,0.0,44,38.71,62,28.33,晴,西,5,5,6.87,4,逃げ,3,0.27,1.56.5,0.1443181818181818,0.1513274336283186,0.06666666666666667,0.2,0.2,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
2024-03-09,桐生,7,ドラドキ３,4,4203,小倉康典,41,群馬,52,B1,3.83,17.05,4.61,27.43,60,24.24,32,37.04,晴,西,5,5,6.94,2,逃げ,4,0.2,1.53.4,0.1458695652173913,0.1563761467889908,0.0,0.08333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,7,ドラドキ３,5,5074,大澤誠也,28,愛知,54,B1,4.13,24.29,4.33,13.33,37,29.73,49,20.0,晴,西,5,5,6.95,5,逃げ,5,0.22,1.57.5,0.1469230769230769,0.1510132158590308,0.0,0.09090909090909091,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,7,ドラドキ３,6,4495,森晋太郎,36,福岡,55,B1,4.87,28.26,5.0,44.44,63,37.84,43,42.11,晴,西,5,5,6.85,3,逃げ,6,0.12,1.54.9,0.1541935483870967,0.1527748691099476,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
