日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2025-02-07,鳴門,2,どーなるなる,5,4173,岡谷健吾,42,広島,55,B1,4.88,26.14,4.61,21.43,52,34.29,75,32.26,晴,西,3,3,6.93,2,差し,5,0.22,1.49.8,0.1881081081081081,0.1858482142857143,0,37,4,10,0,0,0,0,0,0,0,0,0.0,0.10810810810810811,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,2,どーなるなる,6,5089,前田　翔,24,愛知,51,A2,6.38,47.62,6.4,41.86,66,35.1,27,33.51,晴,西,3,3,6.9,4,差し,6,0.24,1.51.8,0.1861290322580645,0.1530845771144278,1,31,2,10,0,0,0,0,1,0,0,0,0.03225806451612903,0.06451612903225806,0.3225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
2025-02-07,鳴門,3,どきどきなる,1,4293,鈴木智啓,39,愛知,58,A2,5.49,38.37,5.12,26.92,20,35.0,13,43.88,晴,北西,4,4,6.96,1,逃げ,1,0.07,1.48.1,0.1629999999999999,0.1692307692307692,15,30,9,2,15,0,0,0,0,6,1,6,0.5,0.3,0.06666666666666667,0.5,0.0,0.0,0.0,0.0,0.2,0.03333333333333333,0.2
2025-02-07,鳴門,3,どきどきなる,2,4674,池田剛規,37,福岡,52,B1,5.61,41.03,5.1,33.33,12,35.2,10,42.36,晴,北西,4,4,7.03,5,逃げ,2,0.11,.  .,0.1741463414634146,0.1592660550458715,1,41,18,9,0,25,1,0,0,0,0,0,0.024390243902439025,0.43902439024390244,0.21951219512195122,0.0,0.6097560975609756,0.024390243902439025,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,3,どきどきなる,3,3812,山崎聖司,49,東京,52,B1,4.33,17.07,4.88,35.29,70,42.79,64,35.42,晴,北西,4,4,6.98,3,逃げ,3,0.17,1.51.4,0.1565714285714285,0.1767379679144385,2,35,4,9,0,0,1,1,0,0,0,0,0.05714285714285714,0.11428571428571428,0.2571428571428571,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0
2025-02-07,鳴門,3,どきどきなる,4,4562,阪本勇介,37,岡山,56,B1,4.11,15.0,3.93,17.65,28,38.92,61,26.52,晴,北西,4,4,6.9,2,逃げ,4,0.21,1.49.7,0.1536111111111111,0.1817333333333333,3,36,2,7,0,0,0,2,1,0,0,0,0.08333333333333333,0.05555555555555555,0.19444444444444445,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0
2025-02-07,鳴門,3,どきどきなる,5,4384,鶴本崇文,39,大阪,50,A2,6.42,44.74,6.25,45.0,68,30.46,63,34.83,晴,北西,4,4,7.05,4,逃げ,5,0.17,1.52.6,0.191578947368421,0.1794514767932489,3,38,4,10,0,0,0,0,1,0,0,0,0.07894736842105263,0.10526315789473684,0.2631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0
2025-02-07,鳴門,3,どきどきなる,6,5360,高木茉白,18,埼玉,47,B2,1.46,0.0,0.0,0.0,35,38.19,60,36.0,晴,北西,4,4,6.96,6,逃げ,6,0.31,.  .,0.2234090909090909,0.2118518518518518,0,44,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,4,とにかくなる,1,3717,立間充宏,49,岡山,56,A2,6.15,41.3,6.04,48.1,10,32.23,72,31.55,晴,西,4,4,7.03,6,まくり,1,0.19,.  .,0.128780487804878,0.1444907407407407,27,41,10,1,23,0,0,0,0,2,4,7,0.6585365853658537,0.24390243902439024,0.024390243902439025,0.5609756097560976,0.0,0.0,0.0,0.0,0.04878048780487805,0.0975609756097561,0.17073170731707318
2025-02-07,鳴門,4,とにかくなる,2,4167,片岡秀樹,42,徳島,58,B1,5.36,30.43,5.2,29.45,56,33.0,31,38.0,晴,西,4,4,7.11,4,まくり,2,0.18,1.51.2,0.15175,0.1550251256281407,2,40,7,7,0,18,2,0,0,0,0,0,0.05,0.175,0.175,0.0,0.45,0.05,0.0,0.0,0.0,0.0,0.0
