日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2023-06-03,若松,8,エイトビート,2,4140,梶野学志,42,東京,54,A1,6.86,56.8,6.3,60.0,49,30.28,74,0.0,晴,北,2,2,6.85,4,逃げ,2,0.08,1.53.3,0.16386363636363635,0.14772,0.0,0.14285714285714285,0.0
2023-06-03,若松,8,エイトビート,3,3406,中里英夫,54,群馬,52,A2,5.41,35.2,0.0,0.0,43,25.0,42,0.0,晴,北,2,2,6.83,5,逃げ,3,0.08,.  .,0.14891891891891892,0.1639183673469388,0.3333333333333333,0.26666666666666666,0.0
2023-06-03,若松,8,エイトビート,4,3519,冨田秀幸,55,愛知,52,B1,4.49,19.33,4.23,27.27,58,21.1,36,77.78,晴,北,2,2,6.8,3,逃げ,4,0.07,1.52.3,0.16452380952380952,0.16194570135746605,0.1111111111111111,0.4444444444444444,0.16666666666666666
2023-06-03,若松,8,エイトビート,5,5064,品川二千,24,山口,52,B1,5.06,31.37,4.22,13.04,60,27.03,26,0.0,晴,北,2,2,6.82,2,逃げ,5,0.06,1.50.9,0.17727272727272725,0.1820689655172414,0.08,0.2,0.0
2023-06-03,若松,8,エイトビート,6,5107,松本真広,24,福岡,50,B1,3.64,13.86,2.67,2.56,36,22.12,28,0.0,晴,北,2,2,6.81,6,逃げ,6,0.07,.  .,0.2060714285714286,0.1831155778894472,0.0,0.4117647058823529,0.0
2023-06-03,若松,9,準優勝戦,1,3188,日高逸子,61,福岡,45,A2,6.44,47.58,5.84,34.88,14,40.83,56,0.0,晴,北西,2,2,6.77,3,まくり差し,1,0.13,1.52.6,0.1626315789473684,0.17403100775193797,0.0,0.3,0.0
2023-06-03,若松,9,準優勝戦,2,4199,北川潤二,40,愛知,56,A1,6.9,52.45,6.62,53.85,27,26.36,34,66.67,晴,北西,2,2,6.77,2,まくり差し,2,0.11,1.51.3,0.12934782608695652,0.12556338028169015,0.0,0.3333333333333333,0.0
2023-06-03,若松,9,準優勝戦,3,3928,林　恵祐,47,福岡,60,B1,4.96,29.08,4.36,25.26,61,48.08,59,0.0,晴,北西,2,2,6.83,5,まくり差し,3,0.1,.  .,0.159,0.1730152671755725,0.3548387096774194,0.3225806451612903,0.0
2023-06-03,若松,9,準優勝戦,4,4957,竹之内極,27,福岡,56,B1,4.55,28.42,4.98,32.61,29,42.97,65,0.0,晴,北西,2,2,6.75,6,まくり差し,4,0.16,.  .,0.14800000000000002,0.15079787234042555,0.0,0.4594594594594595,0.6216216216216216
2023-06-03,若松,9,準優勝戦,5,4642,松尾夏海,31,香川,47,B2,5.54,38.46,4.7,30.0,45,40.15,39,0.0,晴,北西,2,2,6.73,1,まくり差し,5,0.12,1.49.7,0.1380952380952381,0.1535251798561151,0.07692307692307693,0.28205128205128205,0.0
2023-06-03,若松,9,準優勝戦,6,4786,佐藤博亮,35,愛知,52,A2,7.0,54.32,6.57,42.86,16,35.54,73,0.0,晴,北西,2,2,6.8,4,まくり差し,6,0.21,1.54.0,0.13411764705882354,0.13295566502463055,0.05555555555555555,0.16666666666666666,0.0
2023-06-03,下関,1,予選,1,4803,飯田庄吾,29,福岡,56,B2,5.94,41.18,3.59,13.64,14,49.02,41,17.31,晴,北西,2,2,6.89,4,まくり差し,1,0.35,1.53.9,0.15833333333333333,0.1928888888888889,0.0,0.2,0.0
2023-06-03,下関,1,予選,2,4153,佐々木巌,42,山口,58,B1,3.43,10.0,3.94,21.28,48,27.45,29,25.0,晴,北西,2,2,6.84,2,まくり差し,2,0.16,1.51.6,0.18344827586206897,0.1933974358974359,0.0,0.08,0.0
2023-06-03,下関,1,予選,3,4231,鈴木裕隆,39,愛知,59,B1,4.32,18.85,4.43,0.0,39,25.86,60,20.75,晴,北西,2,2,6.9,1,まくり差し,3,0.15,1.50.1,0.18472222222222223,0.1923232323232323,0.42857142857142855,0.32142857142857145,0.0
2023-06-03,下関,1,予選,4,4116,川田正人,42,徳島,52,B1,4.56,23.53,4.74,23.53,59,47.62,55,36.73,晴,北西,2,2,6.85,3,まくり差し,4,0.14,1.53.2,0.22210526315789472,0.18307692307692308,0.125,0.5,0.71875
2023-06-03,下関,1,予選,5,4121,富永修一,41,福岡,52,A2,4.9,29.35,4.94,29.41,20,39.13,26,36.73,晴,北西,2,2,6.85,6,まくり差し,5,0.08,.  .,0.14085714285714285,0.13167420814479638,0.09375,0.5,0.0
2023-06-03,下関,1,予選,6,4213,重富伸也,38,長崎,52,B1,4.92,28.3,3.95,9.52,33,22.0,54,38.46,晴,北西,2,2,6.68,5,まくり差し,6,0.08,.  .,0.14714285714285713,0.17013698630136986,0.1111111111111111,0.2962962962962963,0.0
2023-06-03,下関,2,予選,1,4041,小林基樹,43,山口,54,B2,4.3,22.22,4.51,21.62,63,36.96,18,43.64,晴,北西,2,2,6.74,1,逃げ,1,0.25,1.50.2,0.1392857142857143,0.19373737373737374,0.06060606060606061,0.30303030303030304,0.0
2023-06-03,下関,2,予選,2,4919,吉田翔悟,32,長崎,53,B1,4.97,30.56,5.56,33.33,16,31.48,12,21.57,晴,北西,2,2,6.77,2,逃げ,2,0.23,1.51.6,0.1810344827586207,0.15619883040935673,0.043478260869565216,0.17391304347826086,0.0
2023-06-03,下関,2,予選,3,4453,永田郁弥,35,愛知,53,B1,3.48,16.47,0.0,0.0,73,24.07,64,30.61,晴,北西,2,2,6.79,4,逃げ,3,0.24,1.55.0,0.1510344827586207,0.16900621118012424,0.6,0.2571428571428571,0.0
2023-06-03,下関,2,予選,4,4902,山川雄大,30,兵庫,50,B1,4.59,27.62,7.3,70.0,52,22.0,69,28.57,晴,北西,2,2,6.78,3,逃げ,4,0.26,1.53.8,0.17212121212121212,0.17004901960784313,0.061224489795918366,0.4489795918367347,0.5918367346938775
2023-06-03,下関,2,予選,5,3981,今坂晃広,45,静岡,52,B1,4.03,23.29,0.0,0.0,38,42.0,34,29.41,晴,北西,2,2,6.84,5,逃げ,5,0.31,.  .,0.16457142857142856,0.16442396313364055,0.06666666666666667,0.28888888888888886,0.0
2023-06-03,下関,2,予選,6,4211,村田　敦,40,東京,58,B1,3.95,17.92,0.0,0.0,34,24.56,13,43.14,晴,北西,2,2,6.92,6,逃げ,6,0.33,.  .,0.15194444444444444,0.1533603238866397,0.1,0.275,0.0
2023-06-03,下関,3,予選,1,4169,多田有佑,40,東京,54,B1,3.83,20.0,3.75,12.5,42,41.18,23,29.09,晴,北,2,2,6.81,1,逃げ,1,0.19,1.49.7,0.18375,0.18577142857142856,0.0,0.1875,0.0
2023-06-03,下関,3,予選,2,3968,茶谷信次,46,滋賀,54,B1,5.31,35.21,5.13,21.88,35,29.23,24,28.57,晴,北,2,2,6.82,2,逃げ,2,0.2,1.52.1,0.154,0.18648514851485148,0.034482758620689655,0.3103448275862069,0.0
2023-06-03,下関,3,予選,3,4498,宮本夏樹,35,長崎,55,A2,6.39,53.76,4.66,21.88,22,32.79,17,43.14,晴,北,2,2,6.79,5,逃げ,3,0.14,.  .,0.13533333333333333,0.1608,0.7674418604651163,0.16279069767441862,0.0
2023-06-03,下関,3,予選,4,4150,山田雄太,41,静岡,59,A2,5.44,37.9,6.0,28.57,58,31.58,33,36.54,晴,北,2,2,6.86,4,逃げ,4,0.14,1.53.2,0.14116279069767443,0.14418032786885246,0.13636363636363635,0.6363636363636364,0.6818181818181818
2023-06-03,下関,3,予選,5,4222,山口高志,41,佐賀,52,B1,4.55,24.0,5.0,37.5,55,22.41,30,38.0,晴,北,2,2,6.8,6,逃げ,5,0.18,.  .,0.158,0.17480225988700565,0.17073170731707318,0.5365853658536586,0.0
2023-06-03,下関,3,予選,6,4305,金子拓矢,39,群馬,52,A1,6.29,44.44,7.46,50.0,32,30.23,47,55.1,晴,北,2,2,6.85,3,逃げ,6,0.22,1.52.9,0.14925925925925926,0.14488479262672813,0.10526315789473684,0.5789473684210527,0.0
2023-06-03,下関,4,予選,1,3286,坂東　満,54,静岡,53,B1,4.57,25.49,5.0,44.44,67,39.66,70,41.07,晴,北,3,3,6.81,3,まくり,1,0.12,1.53.6,0.12583333333333332,0.15447368421052632,0.025,0.35,0.0
2023-06-03,下関,4,予選,2,4133,高橋正男,42,兵庫,53,A1,5.88,42.48,6.25,50.0,61,26.67,21,34.0,晴,北,3,3,6.79,6,まくり,2,0.15,.  .,0.16155555555555556,0.1501968503937008,0.030303030303030304,0.24242424242424243,0.0
