レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
多摩川,9,予選特賞,4,3656,伯母芳恒,50,東京,57,B1,5.16,32.95,5.33,31.58,67,38.78,31,39.39,曇り,北東,3,2,6.73,4,逃げ,4,0.1,1.52.4,0.16264705882352942,0.15458937198067632,0.06896551724137931,0.5172413793103449,0.5172413793103449
多摩川,9,予選特賞,5,4953,尾上雅也,29,埼玉,53,A1,6.02,47.06,5.97,39.47,44,32.04,35,34.65,曇り,北東,3,2,6.74,2,逃げ,5,0.15,1.51.5,0.14794871794871797,0.15895522388059702,0.07692307692307693,0.4230769230769231,0.0
多摩川,9,予選特賞,6,4637,中田友也,34,埼玉,57,B1,5.17,31.93,5.44,40.74,19,37.36,22,28.28,曇り,北東,3,2,6.81,5,逃げ,6,0.19,.  .,0.1809090909090909,0.16456896551724137,0.13636363636363635,0.2727272727272727,0.0
江戸川,1,予選,1,5266,石田勇斗,24,愛知,53,B1,2.93,13.41,2.18,4.44,66,40.51,60,36.11,曇り,北東,4,5,6.53,1,逃げ,1,0.13,1.52.8,0.1,0.16828025477707007,0.03571428571428571,0.35714285714285715,0.0
江戸川,1,予選,2,5073,上原健次,29,福岡,56,B1,4.01,15.96,4.25,12.5,48,34.18,62,33.75,曇り,北東,4,5,6.56,3,逃げ,2,0.15,1.56.3,0.15828571428571428,0.16377551020408165,0.05555555555555555,0.2222222222222222,0.0
江戸川,1,予選,3,5127,沼田大都,27,愛知,50,B1,4.63,25.26,2.43,8.57,14,32.86,52,37.5,曇り,北東,4,5,6.68,2,逃げ,3,0.18,1.53.7,0.16594594594594594,0.185,0.3076923076923077,0.4358974358974359,0.0
江戸川,1,予選,4,5280,廣瀬　凜,21,滋賀,50,B1,3.95,15.69,0.0,0.0,50,26.92,27,29.87,曇り,北東,4,5,6.63,4,逃げ,4,0.26,1.57.3,0.2545454545454545,0.2360544217687075,0.2,0.4,0.45
江戸川,1,予選,5,5290,坂本一真,23,東京,54,B2,1.85,3.26,2.07,3.45,10,33.33,19,21.62,曇り,北東,4,5,6.62,6,逃げ,5,0.18,.  .,0.1682142857142857,0.17135869565217393,0.18604651162790697,0.3953488372093023,0.0
江戸川,1,予選,6,5135,仲　航太,24,東京,54,B1,4.84,23.4,4.33,23.08,52,33.75,37,24.36,曇り,北東,4,5,6.7,5,逃げ,6,0.17,.  .,0.2111111111111111,0.17994219653179191,0.17142857142857143,0.37142857142857144,0.0
江戸川,2,予選,1,5122,相馬　翔,23,埼玉,56,B1,4.22,20.45,3.4,10.0,45,32.14,33,27.63,雨,北東,5,5,6.67,6,まくり,1,0.23,.  .,0.14464285714285713,0.165,0.12121212121212122,0.21212121212121213,0.0
江戸川,2,予選,2,5139,大場恒季,24,愛知,52,B2,6.39,46.46,5.0,33.33,58,35.06,66,38.37,雨,北東,5,5,6.72,1,まくり,2,0.02,1.52.6,0.14722222222222223,0.14721804511278197,0.09375,0.25,0.0
江戸川,2,予選,3,5197,中野仁照,22,愛知,52,A2,6.59,50.0,3.96,21.74,56,36.84,31,34.21,雨,北東,5,5,6.6,2,まくり,3,0.07,1.54.3,0.13333333333333333,0.14158536585365852,0.5882352941176471,0.2647058823529412,0.0
江戸川,2,予選,4,5329,金子龍斗,20,兵庫,49,B1,3.29,8.86,4.7,30.0,47,33.33,58,29.11,雨,北東,5,5,6.72,4,まくり,4,0.07,1.57.7,0.1573684210526316,0.1733812949640288,0.11538461538461539,0.6923076923076923,0.5384615384615384
江戸川,2,予選,5,5223,森清友翔,23,福岡,55,B1,3.74,18.03,2.71,14.29,64,34.18,54,29.85,雨,北東,5,5,6.71,3,まくり,5,0.13,1.56.1,0.17605263157894738,0.18999999999999997,0.14285714285714285,0.4642857142857143,0.0
江戸川,2,予選,6,5247,大森　翼,22,兵庫,52,B1,2.8,7.78,0.0,0.0,41,34.18,11,32.89,雨,北東,5,5,6.58,5,まくり,6,0.14,.  .,0.21866666666666668,0.20888888888888887,0.038461538461538464,0.46153846153846156,0.0
江戸川,3,予選,1,5084,末永和也,25,佐賀,52,A1,7.21,55.73,6.14,57.14,63,29.87,29,30.86,曇り,北東,6,5,6.74,1,逃げ,1,0.17,1.57.7,0.1277358490566038,0.13681632653061226,0.1111111111111111,0.3333333333333333,0.0
江戸川,3,予選,2,5147,田中勇輔,30,埼玉,51,B1,4.46,23.01,3.89,18.18,22,35.44,53,51.22,曇り,北東,6,5,6.67,5,逃げ,2,0.16,.  .,0.15341463414634146,0.12574766355140188,0.037037037037037035,0.25925925925925924,0.0
江戸川,3,予選,3,5093,浦野　海,22,福岡,53,B1,4.35,24.19,2.7,10.0,70,23.68,45,35.53,曇り,北東,6,5,6.67,2,逃げ,3,0.22,2.01.1,0.1275,0.1558974358974359,0.7027027027027027,0.2702702702702703,0.0
江戸川,3,予選,5,5276,大島隆乃,22,福岡,50,B1,3.82,13.48,0.0,0.0,31,38.46,49,25.32,曇り,北東,6,5,6.62,3,逃げ,5,0.23,2.06.5,0.1572972972972973,0.16291390728476823,0.21739130434782608,0.4782608695652174,0.5217391304347826
江戸川,3,予選,6,5299,西丸敦基,22,香川,52,B1,3.66,14.56,0.0,0.0,60,42.47,48,34.21,曇り,北東,6,5,6.65,4,逃げ,6,0.29,2.11.4,0.19463414634146342,0.18869565217391304,0.40625,0.34375,0.0
江戸川,4,予選,1,5143,常盤海心,23,徳島,53,B1,3.35,10.98,0.0,0.0,49,33.77,65,38.96,曇り,北東,5,5,6.7,6,まくり,1,0.27,.  .,0.18533333333333332,0.2067549668874172,0.25925925925925924,0.48148148148148145,0.0
江戸川,4,予選,2,5212,西川拓利,25,福岡,55,B1,4.34,20.93,4.29,23.53,57,28.99,30,22.08,曇り,北東,5,5,6.73,5,まくり,2,0.22,.  .,0.18388888888888888,0.1766304347826087,0.07692307692307693,0.46153846153846156,0.0
江戸川,4,予選,3,5096,上原　崚,29,東京,53,B1,4.99,27.94,4.96,29.79,26,42.17,16,38.1,曇り,北東,5,5,6.76,1,まくり,3,0.2,1.52.9,0.12285714285714286,0.12581818181818183,0.09090909090909091,0.24242424242424243,0.0
江戸川,4,予選,4,5137,川原　涼,24,愛知,54,B1,4.62,22.68,4.38,20.78,11,31.08,57,36.25,曇り,北東,5,5,6.69,2,まくり,4,0.2,1.54.6,0.14400000000000002,0.15843902439024393,0.4,0.28,0.0
江戸川,4,予選,5,4852,川原祐明,29,香川,51,A2,6.12,42.11,0.0,0.0,67,28.33,64,32.05,曇り,北東,5,5,6.71,3,まくり,5,0.22,1.56.6,0.14833333333333334,0.15793233082706767,0.11428571428571428,0.22857142857142856,0.4857142857142857
江戸川,4,予選,6,5292,佐藤右京,22,東京,58,B1,2.65,6.76,3.09,11.76,71,33.33,14,25.64,曇り,北東,5,5,6.67,4,まくり,6,0.24,1.57.1,0.237,0.21975155279503109,0.05555555555555555,0.3333333333333333,0.0
江戸川,5,予選,1,5186,遠藤圭吾,24,東京,54,B1,3.61,14.68,3.29,14.29,21,39.51,59,33.72,曇り,北東,6,5,6.79,1,逃げ,1,0.14,1.53.6,0.16086956521739132,0.17349206349206348,0.06666666666666667,0.26666666666666666,0.0
江戸川,5,予選,2,5229,吉川晴人,21,滋賀,55,B1,4.67,29.81,0.0,0.0,39,38.96,22,32.91,曇り,北東,6,5,7.01,3,逃げ,2,0.18,1.57.2,0.17054054054054055,0.1662085308056872,0.03125,0.15625,0.0
