日付,レース場,レース番号,レース種別,艇番,登録番号,選手名_x,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,選手名_y,出走数,勝利回数,2着回数,3着回数,平均ST,逃げ,差し,まくり,まくり差し,抜き,恵まれ,差され,まくられ,まくり差され,逃し,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2022-01-09,尼崎,6,昼どきピンク,3,4244,鈴木成美,35,静岡,44,B1,4.44,20.99,5.0,33.33,48,28.0,53,30.07,晴,南,1,0,6.82,4,逃げ,4,0.11,1.53.4,鈴木成美,25.0,1.0,3.0,5.0,0.136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1392,0.04,0.12,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
2022-01-09,尼崎,6,昼どきピンク,4,4190,長嶋万記,40,静岡,48,A1,6.25,41.82,7.29,57.14,59,40.14,39,37.8,晴,南,1,0,6.81,2,逃げ,5,0.08,1.50.7,長嶋万記,46.0,5.0,16.0,13.0,0.1380434782608695,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1422813688212927,0.10869565217391304,0.34782608695652173,0.2826086956521739,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.0,0.0
2022-01-09,尼崎,6,昼どきピンク,5,3626,中林秀人,52,大阪,60,B1,3.78,17.07,4.67,25.64,46,33.56,73,27.86,晴,南,1,0,6.89,3,逃げ,2,0.14,1.52.9,中林秀人,30.0,2.0,0.0,0.0,0.129,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14585,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
2022-01-09,尼崎,6,昼どきピンク,6,4176,樋口喜彦,39,兵庫,54,B1,4.14,23.91,4.42,26.88,53,26.14,25,35.97,晴,南,1,0,6.83,5,逃げ,6,0.22,1.54.1,樋口喜彦,33.0,1.0,2.0,6.0,0.1681818181818181,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1620762711864407,0.030303030303030304,0.06060606060606061,0.18181818181818182,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0
2022-01-09,尼崎,7,一般,1,3950,石川哲秀,45,大阪,56,B1,4.27,25.74,4.74,32.35,35,33.11,46,43.8,曇り,南西,3,0,6.82,3,まくり差し,1,0.27,1.52.1,石川哲秀,29.0,10.0,7.0,3.0,0.1506896551724137,10.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,0.0,0.1566183574879227,0.3448275862068966,0.2413793103448276,0.10344827586206896,0.3448275862068966,0.0,0.0,0.0,0.0,0.3448275862068966,0.13793103448275862,0.13793103448275862
2022-01-09,尼崎,7,一般,2,3571,寺本武司,50,長崎,54,B1,3.74,17.39,2.7,0.0,40,29.25,54,24.31,曇り,南西,3,0,6.9,5,まくり差し,2,0.26,1.55.6,寺本武司,27.0,1.0,4.0,3.0,0.1492592592592592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.17,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.0,0.5555555555555556,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,7,一般,3,5108,柴田愛梨,22,群馬,46,B1,2.51,3.9,0.0,0.0,9,32.67,28,34.53,曇り,南西,3,0,6.86,6,まくり差し,3,0.31,1.58.5,柴田愛梨,13.0,0.0,1.0,1.0,0.2553846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214044943820225,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,7,一般,4,3752,宇土泰就,50,福岡,55,B1,4.51,21.28,4.89,31.58,45,23.53,61,39.46,曇り,南西,3,0,6.83,1,まくり差し,4,0.19,1.48.1,宇土泰就,32.0,0.0,3.0,10.0,0.1653125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1751612903225806,0.0,0.09375,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,7,一般,5,4816,村松修二,30,広島,53,A1,7.57,58.46,5.85,35.0,55,37.25,44,31.21,曇り,南西,3,0,6.77,2,まくり差し,5,0.21,1.49.5,村松修二,25.0,8.0,3.0,7.0,0.1228,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394285714285714,0.32,0.12,0.28,0.0,0.0,0.12,0.04,0.16,0.0,0.0,0.0
2022-01-09,尼崎,7,一般,6,4712,冨好祐真,31,兵庫,54,B1,3.52,14.63,4.6,22.69,41,36.6,42,19.55,曇り,南西,3,0,6.84,4,まくり差し,6,0.19,1.53.5,冨好祐真,30.0,0.0,0.0,1.0,0.2076666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
