レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
常　滑,8,予選,晴,北西,7,5,02,4,4289,落 合 直 子,16,41,6.76,4,0.05,1.15.9
常　滑,9,予選特賞,晴,北,6,4,01,3,4231,鈴 木 裕 隆,30,18,6.82,3,0.29,1.13.2
常　滑,9,予選特賞,晴,北,6,4,02,1,4656,大 崎 翔,19,44,6.79,1,0.19,1.14.2
常　滑,9,予選特賞,晴,北,6,4,03,2,3630,黒 田 誠 司,49,29,6.87,2,0.24,1.15.9
常　滑,9,予選特賞,晴,北,6,4,04,6,5156,坂 野 さくら,42,21,6.81,6,0.30,1.16.3
常　滑,9,予選特賞,晴,北,6,4,05,4,3315,広 瀬 聖 仁,47,25,6.83,5,0.29,
常　滑,9,予選特賞,晴,北,6,4,06,5,4739,中 村 晃 朋,23,14,6.80,4,0.36,
常　滑,10,予選特賞,晴,北,6,4,01,4,4234,野 相 弘 司,61,49,6.66,5,0.24,1.13.4
常　滑,10,予選特賞,晴,北,6,4,03,3,5162,松 尾 怜 実,44,22,6.81,6,0.21,1.16.0
常　滑,10,予選特賞,晴,北,6,4,04,6,3948,大 町 利 克,35,38,6.83,4,0.44,1.16.1
常　滑,10,予選特賞,晴,北,6,4,05,5,4940,白 石 有 美,32,60,6.80,3,0.30,
常　滑,10,予選特賞,晴,北,6,4,06,2,4469,土 山 卓 也,12,20,6.76,2,0.30,
常　滑,11,予選特選,晴,北,5,4,01,4,3999,大 瀧 明日香,37,37,6.81,4,0.21,1.13.1
常　滑,11,予選特選,晴,北,5,4,02,1,4486,野 村 誠,56,59,6.74,1,0.22,1.14.1
常　滑,11,予選特選,晴,北,5,4,03,3,4550,石 岡 将 太,36,27,6.76,3,0.18,1.15.0
常　滑,11,予選特選,晴,北,5,4,04,5,4435,服 部 達 哉,33,31,6.88,5,0.23,1.16.6
常　滑,11,予選特選,晴,北,5,4,05,6,4778,堤 啓 輔,39,71,6.84,6,0.32,
常　滑,11,予選特選,晴,北,5,4,06,2,4422,永 井 亮 次,21,24,6.79,2,0.27,
常　滑,12,予選特選,晴,北,5,4,02,4,4512,高 野 哲 史,14,15,6.73,3,0.19,1.14.4
常　滑,12,予選特選,晴,北,5,4,03,2,3987,後 藤 正 宗,22,36,6.68,2,0.16,1.15.5
常　滑,12,予選特選,晴,北,5,4,04,6,5010,宇留田 翔 平,52,51,6.75,5,0.29,1.16.6
常　滑,12,予選特選,晴,北,5,4,05,5,4146,柳 橋 宏 紀,55,56,6.71,4,0.21,
常　滑,12,予選特選,晴,北,5,4,06,3,4461,安 田 吉 宏,24,57,6.69,6,0.31,
江戸川,1,予選,晴,北,2,5,01,1,3850,小 川 知 行,21,50,6.58,1,0.17,1.52.8
江戸川,1,予選,晴,北,2,5,02,2,4457,神 田 達 也,65,68,6.68,2,0.21,1.54.8
江戸川,1,予選,晴,北,2,5,03,4,3602,奥 平 拓 也,69,62,6.65,4,0.24,1.55.2
江戸川,1,予選,晴,北,2,5,04,6,4197,渥 美 卓 郎,54,28,6.56,6,0.23,1.56.0
江戸川,1,予選,晴,北,2,5,05,5,3313,本 吉 正 樹,51,69,6.56,5,0.29,
江戸川,1,予選,晴,北,2,5,06,3,3482,金 子 猛 志,70,32,6.62,3,0.21,
江戸川,2,予選,晴,南西,3,5,01,1,3696,白 井 友 晴,50,34,6.67,1,0.24,1.53.6
江戸川,2,予選,晴,南西,3,5,02,6,4118,宇佐見 淳,31,45,6.65,6,0.14,1.54.6
江戸川,2,予選,晴,南西,3,5,03,3,4865,立 具 敬 司,15,57,6.58,3,0.32,1.56.7
江戸川,2,予選,晴,南西,3,5,04,2,3105,内 山 文 典,57,40,6.61,2,0.21,1.57.1
江戸川,2,予選,晴,南西,3,5,05,4,4982,中 村 将 隆,33,55,6.65,4,0.21,
江戸川,2,予選,晴,南西,3,5,06,5,4529,嶋 義 信,43,17,6.68,5,0.18,
江戸川,3,予選,晴,南西,3,5,01,2,4067,永 井 源,32,36,6.73,2,0.20,1.53.0
江戸川,3,予選,晴,南西,3,5,02,1,4568,廣 瀬 真 也,61,21,6.68,1,0.13,1.53.7
江戸川,3,予選,晴,南西,3,5,03,4,3796,長 野 道 臣,68,26,6.72,4,0.17,1.57.3
江戸川,3,予選,晴,南西,3,5,04,3,4623,中 北 将 史,60,30,6.71,3,0.17,1.58.1
江戸川,3,予選,晴,南西,3,5,05,5,3868,尾 形 栄 治,52,31,6.83,5,0.22,
江戸川,3,予選,晴,南西,3,5,06,6,5341,山 道 諄 也,49,51,6.91,6,0.42,
江戸川,4,予選,曇り,南,5,5,01,1,4023,柴 田 友 和,39,35,6.73,1,0.05,1.54.1
江戸川,4,予選,曇り,南,5,5,02,5,4610,佐 藤 大 佑,12,58,6.96,5,0.17,1.55.4
江戸川,4,予選,曇り,南,5,5,03,6,4452,松 尾 祭,34,18,6.83,6,0.21,1.56.6
江戸川,4,予選,曇り,南,5,5,04,3,3869,井 芹 大 志,53,29,6.78,3,0.16,1.58.3
