,original_index,日付,レース場,レース番号,正解1着艇,1号艇勝利確率,2号艇勝利確率,3号艇勝利確率,4号艇勝利確率,5号艇勝利確率,6号艇勝利確率,1号艇確率,2号艇確率,3号艇確率,4号艇確率,5号艇確率,6号艇確率
3433,17405,2024-09-10,大村,4,1,0.5534710614738096,0.03614826718722712,0.18615987194715386,0.02394250320529967,0.03777347296824232,0.1625048232182674,0.8932649582424246,0.2963528005722038,0.7973012318781387,0.07979140470438695,0.24936465427415966,0.5492796990395653
3434,17406,2024-09-10,大村,5,1,0.2769669860317402,0.043745371095436344,0.07331332362885765,0.5819647260131663,0.019471697694151056,0.004537895536648481,0.9225329686419227,0.4652360358186202,0.4779144655506526,0.8765173627167369,0.19157176393736905,0.0319086427968531
3435,17410,2024-09-10,尼崎,1,3,0.17345436813094592,0.10411456912329771,0.36248500237797615,0.20195880993675291,0.06875916492058746,0.08922808551043984,0.7777605274886951,0.4074914482394999,0.7857993242319751,0.5147361259899584,0.1529633292957027,0.30165953895741004
3436,17419,2024-09-10,常滑,1,1,0.3818077364110181,0.06270779170947605,0.1375143492157639,0.09930082153367306,0.10899145047349292,0.209677850656576,0.8826703743181114,0.4943483620293671,0.4562164347538366,0.2556505336293423,0.36405757439005404,0.493031551210691
3437,17428,2024-09-10,平和島,1,6,0.10292017485061297,0.17245168431588423,0.07474622960282129,0.16093774017440035,0.0846308770887543,0.4043132939675269,0.7543574115227544,0.5756886910801274,0.37086758892067656,0.4323291252731751,0.37890661182156465,0.6845139357850768
3438,17431,2024-09-10,平和島,4,1,0.16094903279679632,0.26427610523594036,0.13847626753120237,0.09402253361544417,0.29124793735463356,0.051028123465983344,0.7481387833103653,0.7915179632956698,0.5450263399666218,0.35680385910606216,0.5430115902632454,0.06723966156502824
3439,17436,2024-09-10,平和島,9,1,0.18222831892911304,0.12735676051712283,0.13949244093156415,0.19682970942548395,0.12862901457528292,0.2254637556214332,0.8675303455701879,0.351960937138527,0.5027643094010633,0.5382533373015446,0.24623489207606813,0.5121258678705739
3440,17439,2024-09-10,徳山,3,1,0.4398096386266937,0.1579773340223768,0.06931893941140047,0.10903739160683784,0.055605310783973586,0.16825138554871763,0.9484622093952257,0.6840391353212659,0.4253136975379052,0.5236577403860564,0.14253102920286012,0.29256181212608245
3441,17440,2024-09-10,徳山,4,1,0.12306772501517313,0.33624711905841614,0.08725402305441163,0.183199975501756,0.0312668914483794,0.2389642659218638,0.8250283873931699,0.6704857472458537,0.43257976278524,0.5627884653688715,0.1258068516507695,0.5319165833253319
3442,17444,2024-09-10,徳山,8,1,0.20013216957125185,0.06907948714304651,0.08903316704043131,0.2886760432287439,0.048892290162469765,0.30418684285405656,0.8857788778877325,0.4629613261845851,0.3883515714608333,0.6060605226837908,0.21156930803513066,0.3961295730091869
3443,17446,2024-09-10,桐生,1,3,0.11574973048828022,0.2510909712206205,0.31057513146461996,0.21413238076792238,0.0983828213345962,0.010068964723960752,0.45808906129213306,0.697978782613569,0.7918794509311189,0.5443896932160682,0.24201188136927826,0.01294352406778629
3444,17452,2024-09-10,桐生,8,1,0.2808804787455951,0.14185231280066093,0.11780201971712954,0.11708337356980002,0.2954800527495245,0.04690176241728986,0.9203721245508825,0.6044553733562479,0.4638676315837909,0.3606295726827094,0.4690740843826563,0.14749588412858297
3445,17466,2024-09-10,浜名湖,4,1,0.47658746613098424,0.08485604922315977,0.1561013691956721,0.11862737433441047,0.121733971348176,0.04209376976759747,0.9372778264395744,0.4972083514908379,0.6242175137203478,0.5163428196543632,0.23414140883785106,0.16191248159538374
